,jobTitles,company,salaryRange,Bonus,category+progLang,seniority,workLanguage,location,remote
49, IOS Developer , ADASTRA·ONE , 52.5k  - 84k  CZK ,," Kategorie:  Mobile ,  ios ", Mid ,Pracovní jazyk:Angličtina," Hybrid  +1 •Prague, Karolinská 706/3 ",
50, React Native Developer , ADASTRA·ONE , 73.5k  - 136.5k  CZK ,," Kategorie:  Mobile ,  React Native "," Mid, Senior ",Pracovní jazyk:Angličtina," Hybrid  +1 •Prague, Karolinská ",
51, Remote QA Automation Engineer , Kilo Health , 81.3k  - 101k  CZK ,, Kategorie:  Mobile , Senior ,Pracovní jazyk:Angličtina," Vilnus, Berlin, Kyiv • Na dálku •Vilnus•Berlin•Kyiv ", Na dálku 
52, Flutter vývojář (až 100% remote) , Animato , 67.2k  - 105k  CZK ,," Kategorie:  Mobile ,  Flutter "," Mid, Senior ",Pracovní jazyk:Čeština," Hybrid  +1 •Hradec Králové, Pražská třída 320 20% na místě, 80% na dálku  ",
53, Senior QA Engineer , ShipMonk , 50k  - 90k  CZK ,," Kategorie:  Testing ,  testing "," Senior, Expert ",Pracovní jazyk:Angličtina," Hybrid  +1 •Prague, Rohanske nabrezi 23 80% na místě, 20% na dálku  ",
54, Systems Analyst ," Logex Solution Center, s.r.o. ", 45k  - 70k  CZK ,," Kategorie:  Testing ,  jira ", Mid ,"Pracovní jazyk:Čeština, Angličtina"," Hybrid  +1 •Brno, Nové sady 996/25 ",
55, Remote Quality Assurance Specialist , Bridebook , 73.2k  - 91.5k  CZK ,," Kategorie:  Testing ,  testing "," Mid, Senior ",Pracovní jazyk:Angličtina," London, 45 Notting Hill Gate • Na dálku •London, 45 Notting Hill Gate ", Na dálku 
56, Infrastructure Engineer - Data Platforms , SentinelOne , 100k  - 200k  CZK ,, Kategorie:  DevOps ," Mid, Senior ",Pracovní jazyk:Angličtina," Prague, Brno • Na dálku •Prague, Karolinská 707/7•Brno, Holandská 2 ", Na dálku 
57, DevOps Engineer , SentinelOne , 100k  - 200k  CZK ,, Kategorie:  DevOps ," Mid, Senior ",Pracovní jazyk:Angličtina," Prague, Brno • Na dálku •Prague, Karolinská 707/7•Brno, Holandská 2 ", Na dálku 
58, Remote DevOps Engineer , Kilo Health , 86.2k  - 172.5k  CZK ,, Kategorie:  DevOps , Expert ,Pracovní jazyk:Angličtina," Vilnus, Berlin, Kyiv • Na dálku •Vilnus•Berlin•Kyiv ", Na dálku 
59, DevOps Engineer , Appliscale Sp. z o.o. , 75.2k  - 150.4k  CZK ,," Kategorie:  DevOps ,  ansible "," Mid, Senior ",Pracovní jazyk:Angličtina," krakow, Życzkowskiego 14 • Na dálku •krakow, Życzkowskiego 14 ", Na dálku 
60, Senior DevOps Engineer , Acaisoft , 98.5k  - 129.7k  CZK ,," Kategorie:  DevOps ,  aws ", Senior ,"Pracovní jazyk:Polština, Angličtina"," Warszawa, Białystok, Gdynia • Na dálku •Warszawa, Puławska•Białystok, Świętego Rocha•Gdynia, Pomorski Park Naukowo-Technologiczny ", Na dálku 
61, Mid DevOps Engineer , Acaisoft , 62.2k  - 98.5k  CZK ,," Kategorie:  DevOps ,  aws ", Mid ,"Pracovní jazyk:Polština, Angličtina"," Warszawa, Białystok, Gdynia • Na dálku •Warszawa, Puławska•Białystok, Świętego Rocha•Gdynia, Pomorski Park Naukowo-Technologiczny ", Na dálku 
62, Remote Senior DevOps Engineer , EcoVadis Polska Sp. z o. o. , 116.7k  - 155.6k  CZK ,," Kategorie:  DevOps ,  sass ", Senior ,"Pracovní jazyk:Polština, Angličtina"," Warszawa, Kraków, Wrocław  +3 • Na dálku •Warszawa, Twarda 18•Kraków•Wrocław•Poznań•Katowice•Gdańsk ", Na dálku 
