,jobTitles,seniority,workLanguage,angličtina,česky,location,remoteAdj,salAvg,category,mainProgLangAdj
41,Python Developer ,Mid Advanced,"česky, angličtina",True,True,Brno • Remote • Brno  ,Remote,136500.0,Backend, python
42,C/C++ developer for R&D ,Mid Advanced,"česky, angličtina",True,True," Hybrid  +1 • Prague  40% on-site, 60% remotely  ",Hybrid or no remote,117600.0,Backend,other
43,Senior Java Engineer ,Senior,"česky, angličtina",True,True,Prague  (Po pandemi) • Prague  ,Hybrid or no remote,140700.0,Backend, java
44," Back-End Developer (.NET Core, Azure) ",Mid,česky,False,True," Prague, Křižíkova 148/34 • Prague , Křižíkova 148/34 ",Hybrid or no remote,65000.0,Backend, net
45,Senior C++ SW Engineer ,Senior,angličtina,True,False," Hybrid  +1 • Prague  60% on-site, 40% remotely  ",Hybrid or no remote,145000.0,Backend,other
48,Junior Software Developer ,Junior,"česky, angličtina",True,True,Hybrid  +1 • Brno  ,Hybrid or no remote,42500.0,Backend, net
49,Backend Java Engineer ,Mid Advanced,"česky, angličtina",True,True," Praha, Brno  (Po pandemi) • Praha , Rašínovo nábřeží 71/10, Vyšehrad• Brno , Lesnická 1802/11 ",Hybrid or no remote,95000.0,Backend, java
50,Senior PHP Nette / Symfony developer ,Senior,"česky, angličtina",True,True," Praha, Brno, Bratislava • Remote • Praha , Rašínovo nábřeží 71/10, Vyšehrad• Brno , Lesnická 1802/11• Bratislava  ",Remote,105800.0,Backend, php
52,Java Developer ,Mid Advanced,"angličtina, česky",True,True,Hybrid  +1 • Praha  ,Hybrid or no remote,112500.0,Backend, java
53," Backend developer (Python, GO) ",Mid Advanced,angličtina,True,False," Prague, Brno • Remote • Prague , Karolinská 654/2• Brno , Holandská 2 ",Remote,150000.0,Backend, python
54,Medio/senior SW engineer ,Mid Advanced,česky,False,True,Prague  (Po pandemi) • Prague  ,Hybrid or no remote,115000.0,Backend, python
