,jobTitles,company,salaryRange,Bonus,category+progLang,seniority,workLanguage,location,remote
136, Senior C# Developer , Hitachi ABB Power Grids , 69.2k  - 111.9k  CZK ,,"Backend, .net"," Mid, Senior ","Work language:angličtina, polsky"," Kraków, Pawia 7  (Po pandemi) • Kraków , Pawia 7 ", Covid-time na dálku 
137, Senior C#/.Net Developer , Hitachi Energy , 53.3k  - 90.6k  CZK ,,"Backend, C#"," Mid, Senior ","Work language:angličtina, polsky"," Kraków, Pawia 7  (Po pandemi) • Kraków , Pawia 7 ", Covid-time na dálku 
138, Remote Mid Magento Backend Developer , Strix , 63.9k  - 85.2k  CZK ,,"Backend, php", Mid ,"Work language:angličtina, polsky"," Kraków, Miłkowskiego • Remote • Kraków , Miłkowskiego ", Na dálku 
139, Mid Java Developer , Acaisoft Poland Sp. z o.o. , 69.2k  - 106.6k  CZK ,,"Backend, java", Mid ,"Work language:angličtina, polsky"," Warszawa, Białystok, Gdańsk • Remote • Warszawa , Puławska• Białystok • Gdańsk  ", Na dálku 
140, Senior Backend Engineer , UP42 , 146.3k  - 188.1k  CZK , +10% ,"Backend, java", Senior ,Work language:angličtina," Hybrid  +5 • Berlin , Ohlauer Str. 43• Warszawa • Kraków • Kyiv • Prague  ",
141, Java Developer with AWS , AVENGA , 125.3k  - 161.1k  CZK ,,"Backend, java"," Mid, Senior ",Work language:angličtina," Kraków, Warszawa, Gdańsk  +1 • Remote • Kraków • Warszawa • Gdańsk • Wrocław  ", Na dálku 
142, C++ Developer , WithSecure (formerly F-Secure) , 77.2k  - 111.9k  CZK ,,"Backend, c++"," Mid, Senior ",Work language:angličtina," Poznań, Warszawa • Remote • Poznań , Rataje 164• Warszawa , Chmielna 73 ", Na dálku 
143, Senior Backend Developer , NLK , 95.4k  - 107.4k  CZK ,,"Backend, node", Senior ,"Work language:angličtina, ukrajinsky",, Na dálku 
144, PHP Senior Developer , Zone IT Sp. z o.o. , 85.2k  - 133.2k  CZK ,,"Backend, php"," Senior, Expert ","Work language:polsky, angličtina"," Wrocław, Wagonowa 2D • Remote • Wrocław , Wagonowa 2D ", Na dálku 
145, Remote Java Developer , KLG Solutions Sp. z o.o. , 53.3k  - 79.9k  CZK ,,"Backend, java", Mid ,Work language:polsky," Szczecin, Warszawa, Kraków  +2 • Remote • Szczecin • Warszawa • Kraków • Wrocław • Poznań  ", Na dálku 
146, Senior Scala Developer , Scalac , 95.9k  - 149.2k  CZK ,,"Backend, scala", Senior ,Work language:angličtina," Gdańsk, Ul. Czesława Miłosza 9/9, Scalac • Remote • Gdańsk , Ul. Czesława Miłosza 9/9, Scalac ", Na dálku 
147, Scala & Spark Engineer , Scalac , 79.9k  - 149.2k  CZK ,,"Backend, Data Engineering"," Mid, Senior ","Work language:angličtina, polsky"," Gdansk, Czesława Miłosza 9/9 • Remote • Gdansk , Czesława Miłosza 9/9 ", Na dálku 
148, Mid Scala Developer , Scalac , 53.3k  - 95.9k  CZK ,,"Backend, scala", Mid ,"Work language:polsky, angličtina"," Gdańsk, Czesława Miłosza 9/9 • Remote • Gdańsk , Czesława Miłosza 9/9 ", Na dálku 
149, .NET Principal Engineer / Tech Lead , hubQuest , 133.2k  - 159.9k  CZK ,,"Backend, .net"," Senior, Expert ","Work language:angličtina, polsky"," Warsaw, Mokotowska 1 • Remote • Warsaw , Mokotowska 1 ", Na dálku 
150, Java Backend Developer , Tellyo Oy Sp. z o.o. Oddział w Polsce , 53.3k  - 106.6k  CZK ,,"Backend, java"," Mid, Senior ",Work language:polsky," Łódź, Żeligowskiego 3/5 • Remote • Łódź , Żeligowskiego 3/5 ", Na dálku 
151, Ruby on Rails Developer , Anadea , 35.8k  - 59.6k  CZK ,,"Backend, ruby on rails", Mid ,Work language:ukrajinsky,, Na dálku 
152, Tech Lead / Architect , Monogo , 90.6k  - 117.2k  CZK ,,Backend," Senior, Expert ","Work language:angličtina, polsky"," Lublin, Warszawa, Wrocław  +1  (Po pandemi) • Lublin , Nałęczowska 14• Warszawa , Aleje Jerozolimskie 200• Wrocław , Małachowskiego 5/18• Rybnik  ", Covid-time na dálku 
153, Remote Cloud Engineer (AWS) , Skelia Poland , 127.9k  - 159.9k  CZK ,,"Backend, aws"," Senior, Expert ",Work language:angličtina, Kraków • Remote • Kraków  , Na dálku 
154, Senior Java Engineer , United Software , 119.3k  - 179k  CZK ,,"Backend, java", Senior ,Work language:angličtina, Kraków • Remote • Kraków  , Na dálku 
155, Python Developer , Freysoft , 71.6k  - 119.3k  CZK ,,"Backend, python"," Senior, Expert ","Work language:ukrajinsky, angličtina",, Na dálku 
156, Data Scientist + Software Engineer , DevsData LLC , 154.5k  - 245.2k  CZK ,,"Backend, java"," Mid, Senior ","Work language:polsky, angličtina", Warszawa • Remote • Warszawa  , Na dálku 
157, Senior Java or Kotlin Engineer , DevsData LLC , 117.2k  - 159.9k  CZK ,,"Backend, java", Senior ,"Work language:polsky, angličtina",, Na dálku 
158, Senior Software Engineer Backend(Voluum) , Codewise , 98k  - 134.8k  CZK ,,"Backend, java", Senior ,Work language:angličtina," Kraków, Lubicz 17G • Remote • Kraków , Lubicz 17G ", Na dálku 
159, Middle Python Backend Developer , Gargoyle Group , 47.7k  - 83.5k  CZK ,,"Backend, python", Mid ,Work language:ukrajinsky,, Na dálku 
160, C++ Developer , Brytlyt , 117.2k  - 149.2k  CZK ,,"Backend, c++"," Mid, Senior ",Work language:angličtina,, Na dálku 
161, Remote Senior Magento 2 Developer , Divante S.A. , 89.5k  - 125.3k  CZK ,,"Backend, php", Senior ,"Work language:angličtina, polsky"," Wrocław, Kraków, Warszawa • Remote • Wrocław , Dmowskiego 17• Kraków • Warszawa  ", Na dálku 
162, Remote Magento 2 Developer , Divante S.A. , 58.1k  - 89.5k  CZK ,,"Backend, php", Mid ,"Work language:angličtina, polsky"," Wrocław, Kraków, Warszawa • Remote • Wrocław , Dmowskiego 17• Kraków • Warszawa  ", Na dálku 
163, Principal Software Engineer (Java) , Dynatrace , 122.6k  - 197.2k  CZK ,,"Backend, java"," Senior, Expert ","Work language:polsky, angličtina"," Gdańsk, Grunwaldzka 411  (Po pandemi) • Gdańsk , Grunwaldzka 411 ", Covid-time na dálku 
164, Team Lead Backend , Storypoint , 190.9k  - 238.7k  CZK ,,"Backend, java", Expert ,Work language:angličtina,, Na dálku 
165, Backend Engineer , FLYR Poland sp.z.o.o , 90.6k  - 130.5k  CZK ,,"Backend, python", Mid ,Work language:angličtina," Kraków, Dekerta 24 • Remote • Kraków , Dekerta 24 ", Na dálku 
166, Remote Java Engineer , Mindbox S.A. , 122.6k  - 159.9k  CZK ,,"Backend, java"," Mid, Senior ","Work language:polsky, angličtina"," Kraków, Katowice, Warszawa • Remote • Kraków , Kapelanka• Katowice , centrum• Warszawa , aleje Jerozolimskie 93 ", Na dálku 
167, Remote APS Consultant (Mid) , Andea Sp. z o.o. , 39.9k  - 53.3k  CZK ,,"Backend, sql", Mid ,Work language:angličtina,, Na dálku 
168, Senior Ruby Engineer (Remote) , Avenga , 125.2k  - 170.5k  CZK ,,"Backend, Ruby", Senior ,Work language:angličtina,, Na dálku 
169, Senior Python Engineer , Avenga , 125.2k  - 143.9k  CZK ,,"Backend, python", Senior ,Work language:angličtina,, Na dálku 
170, Middle Salesforce Engineer (Remote) , Avenga , 85.2k  - 138.5k  CZK ,,"Backend, Salesforce", Mid ,Work language:angličtina, Kraków • Remote • Kraków  , Na dálku 
171, Middle Java Engineer (Remote) , Avenga , 79.9k  - 117.2k  CZK ,,"Backend, java", Mid ,Work language:angličtina, Kraków • Remote • Kraków  , Na dálku 
172, Backend Engineer ," Secret Sauce Partners, Inc. ", 40.8k  - 78.4k  CZK ,,"Backend, java", Mid ,Work language:angličtina,, Na dálku 
173, Remote Senior NodeJS developer , United Software , 95.4k  - 167.1k  CZK ,,"Backend, node", Senior ,"Work language:ukrajinsky, angličtina", Kraków • Remote • Kraków  , Na dálku 
174, Senior Functional Developer (Haskell) , Citi Service Center , 76.2k  - 152.4k  CZK ,,"Backend, Haskell"," Senior, Expert ","Work language:polsky, angličtina"," Hybrid  +1 • Warszawa , Grzybowska 60 40% on-site, 60% remotely  ",
175, Senior Python Developer , GT , 137.9k  - 160.5k  CZK ,,"Backend, python"," Senior, Expert ",Work language:angličtina,, Na dálku 
176, Passionate Senior Ruby & Rails Developer , USEO Sp. z o.o. , 106.6k  - 159.9k  CZK ,,"Backend, ruby"," Senior, Expert ","Work language:angličtina, polsky"," Wrocław, Ofiar Oświęcimskich 17 • Remote • Wrocław , Ofiar Oświęcimskich 17 ", Na dálku 
177, Junior Node.js Developer , Acaisoft Poland Sp. z o.o. , 29.3k  - 58.6k  CZK ,,"Backend, node", Junior ,"Work language:angličtina, polsky"," Białystok, Świętego Rocha 10/2 • Remote • Białystok , Świętego Rocha 10/2 ", Na dálku 
178, Senior Software Engineer , Phorest , 163k  - 188.1k  CZK ,,"Backend, java", Senior ,Work language:angličtina,, Na dálku 
179, Java Tech Lead , Grape Up , 117.2k  - 159.7k  CZK ,,"Backend, java", Senior ,"Work language:angličtina, polsky"," Kraków, Białystok, Wrocław  +2 • Remote • Kraków , Żółkiewskiego 17a• Białystok , Mikołaja Kopernika 95a• Wrocław , Fabryczna 6• Poznań • Gdańsk  ", Na dálku 
180, Back-End (Node.js) Developer , Kapsys , 71.6k  - 143.2k  CZK ,,"Backend, node", Mid ,Work language:angličtina,, Na dálku 
181, Python Engineer (retraining to Big Data) , SoftServe Poland , 69.2k  - 122.6k  CZK ,,"Backend, python"," Mid, Senior ","Work language:angličtina, polsky"," Warszawa, Wrocław, Kraków  +5 • Remote • Warszawa • Wrocław • Kraków • Gdańsk • Łódź • Poznań • Bydgoszcz • Katowice  ", Na dálku 
182, Mid/Senior .Net Developer (ASEC) , Aviva Services , 79.9k  - 133.2k  CZK ,,"Backend, .net", Senior ,"Work language:angličtina, polsky"," Warsaw, Inflancka 4B • Remote • Warsaw , Inflancka 4B ", Na dálku 
183, TYPO3/PHP Developer , AMT Solution , 53.3k  - 90.6k  CZK ,,"Backend, php"," Mid, Senior ",Work language:angličtina," Wrocław, Swietego Mikolaja 7 • Remote • Wrocław , Swietego Mikolaja 7 ", Na dálku 
184, Node.js Backend Developer  (startup) , GOFAR Pty Ltd , 95.9k  - 127.9k  CZK ,,"Backend, Node.js"," Mid, Senior ",Work language:angličtina,, Na dálku 
185, .Net Developer , Synergity , 26.6k  - 53.3k  CZK ,,"Backend, .net", Junior ,"Work language:angličtina, polsky"," Wrocław, Legnicka 57 • Remote • Wrocław , Legnicka 57 ", Na dálku 
186, Passionate Mid Ruby Developer , USEO Sp. z o.o. , 74.6k  - 95.9k  CZK ,,"Backend, ruby", Mid ,"Work language:angličtina, polsky"," Wrocław, Ofiar Oświęcimskich 17 • Remote • Wrocław , Ofiar Oświęcimskich 17 ", Na dálku 
187, Remote Middle PHP Billing Engineer , TrendSpider LLC , 95.4k  - 143.2k  CZK ,,"Backend, php", Mid ,"Work language:angličtina, rusky",, Na dálku 
188, Remote .NET Developer , CodePole , 79.9k  - 133.2k  CZK ,,"Backend, .net"," Mid, Senior ",Work language:angličtina," Warszawa, Sztokholm • Remote • Warszawa • Sztokholm  ", Na dálku 
189, Senior Java Engineer , Xenoss , 71.6k  - 131.2k  CZK ,,"Backend, java", Senior ,Work language:angličtina,, Na dálku 
190, Senior Node Engineer , Idego Group Sp. z o.o. , 106.6k  - 138.5k  CZK ,,"Backend, node", Senior ,Work language:angličtina," Gdynia, Warszawa, Kraków  +2 • Remote • Gdynia , Aleja Zwycięstwa 96/98• Warszawa • Kraków • Poznań • Wrocław  ", Na dálku 
191, Junior Java Developer , Acaisoft Poland Sp. z o.o. , 29.3k  - 58.6k  CZK ,,"Backend, java", Junior ,"Work language:angličtina, polsky"," Warszawa, Białystok, Gdynia • Remote • Warszawa • Białystok • Gdynia  ", Na dálku 
192, Java Developer , Citi Service Center , 53.3k  - 106.6k  CZK ,,"Backend, java", Mid ,Work language:angličtina," Hybrid  +1 • Warsaw , Gloeszowska 6 40% on-site, 60% remotely  ",
193, Relocate Senior Java Developer , Livatek , 100.3k  - 125.4k  CZK ,,"Backend, java", Senior ,Work language:angličtina, Odense • Odense  ,
194, Remote Java Engineer , Deskset Software Sp. z o.o. , 63.9k  - 127.9k  CZK ,,"Backend, java"," Mid, Senior ","Work language:angličtina, polsky",, Na dálku 
195, Back-End Team Lead (Node.js) , PerceptionBox , 167.1k  - 202.9k  CZK ,,"Backend, javascript", Senior ,Work language:angličtina,, Na dálku 
196, PHP developer (100% zdalnie) , Webanywhere sp. z o.o. , 58.6k  - 85.2k  CZK ,,"Backend, php"," Mid, Senior ",Work language:polsky," Katowice, Żelazna 15 B • Remote • Katowice , Żelazna 15 B ", Na dálku 
197, Java Developer , Unity Group , 71.5k  - 134.2k  CZK ,,"Backend, java"," Mid, Senior ","Work language:angličtina, polsky"," Wrocław, Kraków • Remote • Wrocław , Strzegomska 2-4• Kraków , Armii Krajowej 25 ", Na dálku 
198, Remote Mid/Senior Backend Golang Develop , Meant4 Software , 95.9k  - 149.2k  CZK ,,"Backend, golang"," Mid, Senior ","Work language:angličtina, polsky"," Warsaw, Aignera 6B/131 • Remote • Warsaw , Aignera 6B/131 ", Na dálku 
199, Senior Back-End Developer Web3 (Remote) , Aldrin , 95.4k  - 167.1k  CZK ,,"Backend, node", Senior ,Work language:angličtina,, Na dálku 
200, Python AWS Backend Developer , Sigma IT Poland , 85.2k  - 106.6k  CZK ,,"Backend, python"," Mid, Senior ",Work language:angličtina,, Na dálku 
201, C# / .Net Developer , Hitachi Energy , 74.6k  - 90.6k  CZK ,,"Backend, .net"," Mid, Senior ","Work language:angličtina, polsky"," Kraków, Pawia 7  (Po pandemi) • Kraków , Pawia 7 ", Covid-time na dálku 
202, Mid Senior Backend Developer (Node.js) , Swing Development , 85.2k  - 159.9k  CZK ,,"Backend, javascript"," Mid, Senior ",Work language:angličtina," Warszawa, Nowy Świat 35 lok. 6a • Remote • Warszawa , Nowy Świat 35 lok. 6a ", Na dálku 
203, Remote Backend Python Developer , INUITS , 79.9k  - 106.6k  CZK ,,"Backend, python", Mid ,Work language:angličtina," Kraków, Krupnicza • Remote • Kraków , Krupnicza ", Na dálku 
204, Fullstack .NET (AWS) Developer , Sigma IT Poland , 93.2k  - 122.6k  CZK ,,"Backend, .net", Mid ,Work language:angličtina,, Na dálku 
205, NodeJS Team Lead , AllSTARSIT , 167.1k  - 179k  CZK ,,"Backend, NodeJS", Expert ,Work language:angličtina, Hybrid  +1 • All Ukraine  ,
206, Vesttoo - Back-End Team Lead , SD Solutions , 143.2k  - 179k  CZK ,,Backend, Expert ,Work language:angličtina,, Na dálku 
207, Remote Typescript Developer , Planbe Eco , 63.9k  - 101.2k  CZK ,,"Backend, typescript", Mid ,Work language:angličtina, Warsaw • Remote • Warsaw  , Na dálku 
208, Python Engineer , GT , 131.2k  - 150.3k  CZK ,,"Backend, python"," Mid, Senior ",Work language:angličtina, Kraków • Remote • Kraków  , Na dálku 
209, Java Engineer (remote) , Harvey Nash Technology , 100.7k  - 145.5k  CZK ,,"Backend, java"," Mid, Senior ","Work language:angličtina, polsky"," Gdańsk, Poznań, Wrocław  +2 • Remote • Gdańsk • Poznań • Wrocław • Warszawa • Kraków  ", Na dálku 
210, Senior Java Engineer - Signing Bonus , Jamf , 74.6k  - 103.9k  CZK ,,"Backend, java", Senior ,"Work language:polsky, angličtina", Katowice • Remote • Katowice  , Na dálku 
211, Ruby Engineer , Postindustria , 71.6k  - 95.4k  CZK ,,"Backend, ruby"," Mid, Senior ","Work language:angličtina, ukrajinsky", Hybrid  +1 • Split  ,
212, Remote Lead DB Engineer (AWS) , ClearScale , 200.4k  - 240.5k  CZK ,,"Backend, sql"," Senior, Expert ","Work language:polsky, angličtina"," Warszawa, Poznań, Kraków  +2 • Remote • Warszawa • Poznań • Kraków • Prague • Bratislava  ", Na dálku 
213, Java Engineer II -Signing Bonus Eligible , Jamf , 53.3k  - 74.6k  CZK ,,"Backend, java", Mid ,"Work language:polsky, angličtina", Katowice • Remote • Katowice  , Na dálku 
214," .NET (C#, Asp.net) Software Developer ", Magnify Logistics , 119.3k  - 190.9k  CZK ,,"Backend, .net", Mid ,Work language:angličtina,, Na dálku 
215, Remote .NET Engineer (Salesforce Synch) , Magnify Logistics , 167.1k  - 214.8k  CZK ,,"Backend, .net"," Mid, Senior ",Work language:angličtina,, Na dálku 
216, .NET Developer (praca zdalna) , Finture sp. z o.o. , 63.9k  - 127.9k  CZK ,,"Backend, .net"," Mid, Senior ",Work language:polsky," Warszawa, Skierniewicka 10A • Remote • Warszawa , Skierniewicka 10A ", Na dálku 
217, Remote Senior PHP Developer (Symfony) , VM.PL Software House , 80.4k  - 125.3k  CZK ,,"Backend, php", Senior ,"Work language:angličtina, polsky"," Wrocław, ul. Kościuszki 82 • Remote • Wrocław , ul. Kościuszki 82 ", Na dálku 
218, SAS Platform Operator – Remote , Tryg Forsikring , 95.9k  - 127.9k  CZK ,,"Backend, sas", Mid ,Work language:angličtina, Ballerup • Remote • Ballerup  , Na dálku 
219, Remote Backend Developer , Creditstar AS , 87.7k  - 100.3k  CZK ,,"Backend, php", Mid ,Work language:angličtina," Tallinn, Lõõtsa 5 • Remote • Tallinn , Lõõtsa 5 ", Na dálku 
220, Remote Senior Node.js Engineer , Idego Group Sp. z o.o. , 125.4k  - 163k  CZK ,,"Backend, javascript", Senior ,Work language:angličtina," Gdynia, Warszawa, Kraków  +2 • Remote • Gdynia , Aleja Zwycięstwa 96/98• Warszawa • Kraków • Poznań • Wrocław  ", Na dálku 
221, Web Developer (Ruby on Rails) (m/f/d) , PlanRadar , 109.7k  - 131.6k  CZK ,,"Backend, ruby on rails"," Mid, Senior ",Work language:angličtina," Hybrid  +1 • Vienna , Kärntner Ring 5-7 40% on-site, 60% remotely  ",
222, Remote Senior Java Backend Developer , Data Lake , 85.2k  - 170.5k  CZK ,,"Backend, java", Senior ,"Work language:angličtina, polsky"," Warsaw, Postępu 14 • Remote • Warsaw , Postępu 14 ", Na dálku 
223, Mid/Sr Java Backend Engineer with AWS , Syncron Sp. z o.o. , 70.8k  - 124.2k  CZK ,,"Backend, java"," Mid, Senior ","Work language:angličtina, polsky"," Warszawa, ul. Twarda 4 • Remote • Warszawa , ul. Twarda 4 ", Na dálku 
224, Senior Back-end (Node.js) Engineer , Chimplie , 107.4k  - 167.1k  CZK ,,"Backend, node", Senior ,Work language:angličtina, Kyiv • Remote • Kyiv  , Na dálku 
225, .NET Developer , Better Soft Services , 69.2k  - 101.2k  CZK ,,"Backend, .net", Mid ,"Work language:angličtina, polsky"," Wrocław, Powstańców Śląskich 7a • Remote • Wrocław , Powstańców Śląskich 7a ", Na dálku 
226, Java Engineer , Inter Technology Group , 79.9k  - 133.2k  CZK ,,"Backend, java"," Mid, Senior ",Work language:angličtina,, Na dálku 
227, Expert / Senior Software Engineer , Box Inc. , 117.2k  - 181.2k  CZK ,,"Backend, java"," Senior, Expert ","Work language:angličtina, polsky", Warszawa • Remote • Warszawa  , Na dálku 
228, Senior Golang Engineer , Sonatus , 119.3k  - 190.9k  CZK ,,"Backend, Golang", Senior ,Work language:angličtina,, Na dálku 
229, Remote Golang Engineer , SoftServe , 86.3k  - 130k  CZK ,,"Backend, golang", Senior ,Work language:angličtina," Wrocław, Warszawa, Gliwice  +3 • Remote • Wrocław , Jaworska 11-13• Warszawa , Prosta 20• Gliwice , Zwycięstwa 52• Białystok , Myśliwska 14• Gdańsk • Łódź  ", Na dálku 
230, BackEnd Engineer (Nodejs) , GC , 134.2k  - 179k  CZK ,,"Backend, javascript"," Mid, Senior ","Work language:polsky, angličtina",, Na dálku 
231, AI Software Engineer , AllSTARSIT , 143.2k  - 167.1k  CZK ,,"Backend, python", Senior ,Work language:ukrajinsky, Hybrid  +1 • All Ukraine  ,
232, JAVA SOFTWARE DEVELOPER , RMEDISON SP Z O.O. , 89.5k  - 161.1k  CZK ,,"Backend, java"," Mid, Senior ",Work language:angličtina,, Na dálku 
233, Python Engineer , hubQuest , 106.6k  - 138.5k  CZK ,,"Backend, python", Mid ,"Work language:angličtina, polsky"," Warsaw, Mokotowska 1 • Remote • Warsaw , Mokotowska 1 ", Na dálku 
234, Backend Python developer , Operibus Sp. z o.o. , 74.6k  - 95.9k  CZK ,,"Backend, python", Mid ,"Work language:angličtina, polsky"," Hybrid  +1 • Wrocław , Jedności Narodowej 234 ",
235, Senior Java Developer – Innovation Team , Citi Service Center , 76.2k  - 152.4k  CZK ,,"Backend, java"," Senior, Expert ","Work language:polsky, angličtina"," Warszawa, Grzybowska 60  (Po pandemi) • Warszawa , Grzybowska 60 ", Covid-time na dálku 
236, Senior Java Developer , Idego Group Sp. z o.o. , 95.9k  - 127.9k  CZK ,,"Backend, java"," Senior, Expert ","Work language:angličtina, polsky"," Warszawa, Wroclaw, Łódź  +2 • Remote • Warszawa • Wroclaw • Łódź • Kraków • Gdynia  ", Na dálku 
237, Senior Backend Developer (PHP) , vonRoll Infratec.com , 117.2k  - 149.2k  CZK , +10% ,"Backend, php", Senior ,"Work language:angličtina, polsky"," Kraków, Aleja Pokoju 1 • Remote • Kraków , Aleja Pokoju 1 ", Na dálku 
238, Software Development Team Leader , Dynatrace Sp. z o.o. , 85.2k  - 127.9k  CZK ,,"Backend, java"," Senior, Expert ","Work language:polsky, angličtina"," Gdańsk, Grunwaldzka 411  (Po pandemi) • Gdańsk , Grunwaldzka 411 ", Covid-time na dálku 
239, Back-end Developer , Fabres Sp. z o. o. , 89.5k  - 111.8k  CZK ,,"Backend, .net", Mid ,"Work language:angličtina, polsky"," Poznań, Małachowskiego 10 • Remote • Poznań , Małachowskiego 10 ", Na dálku 
240, Junior Magento Developer , Si e-commerce , 37.3k  - 53.3k  CZK ,,"Backend, php", Junior ,"Work language:angličtina, polsky"," Warszawa, Katowice, Wrocław • Remote • Warszawa • Katowice • Wrocław  ", Na dálku 
241, Remote Senior .NET Developer , Idego Group Sp. z o.o. , 95.9k  - 127.9k  CZK ,,"Backend, .net"," Senior, Expert ","Work language:angličtina, polsky"," Warszawa, Wroclaw, Łódź  +2 • Remote • Warszawa • Wroclaw • Łódź • Kraków • Gdynia  ", Na dálku 
242, Senior .Net Developer , Ceneo.pl , 63.9k  - 79.9k  CZK ,,"Backend, .net", Senior ,Work language:polsky," Wroclaw, Legnicka 48G • Remote • Wroclaw , Legnicka 48G ", Na dálku 
243, .NET Developer , Ceneo.pl , 37.3k  - 62.3k  CZK ,,"Backend, .net", Mid ,Work language:polsky," Wroclaw, Legnicka 48G • Remote • Wroclaw , Legnicka 48G ", Na dálku 
244, Drupal/PHP Developer , Linkfactory Poland , 53.3k  - 95.9k  CZK ,,"Backend, php"," Mid, Senior ","Work language:angličtina, polsky"," Wrocław, Świętego Mikołaja 7 • Remote • Wrocław , Świętego Mikołaja 7 ", Na dálku 
245, Remote Java Developer , MC2 Innovations , 63.9k  - 85.2k  CZK , +25% ,"Backend, java", Mid ,Work language:polsky," Warszawa, Marszałkowska 55 • Remote • Warszawa , Marszałkowska 55 ", Na dálku 
246, Senior Java Developer , Amartus Polska Sp. z o.o. , 53.3k  - 106.6k  CZK ,,"Backend, java"," Senior, Expert ","Work language:angličtina, polsky"," Kraków, Warszawa, Wrocław  +7 • Remote • Kraków , Wasilewskiego 20/14• Warszawa • Wrocław • Poznań • Katowice • Gdańsk • Rzeszów • Łódź • Białystok • Gdynia  ", Na dálku 
247, Senior JavaScript Engineer , Packhelp , 85.2k  - 138.5k  CZK ,,"Backend, javascript"," Mid, Senior ","Work language:angličtina, polsky"," Warszawa, Kolejowa 5/7  (Po pandemi) • Warszawa , Kolejowa 5/7 ", Covid-time na dálku 
248, Remote Java Engineer , Emerge Soft Sp. z o.o. , 69.2k  - 101.2k  CZK ,,"Backend, java", Mid ,Work language:angličtina," Warszawa, Poznań, Łódź, Kraków  +1 • Remote • Warszawa , Bonifraterska 14, XXIII pietro• Poznań • Łódź • Kraków • Wrocław  ", Na dálku 
249, Remote Senior Backend Developer , medcase Health , 133.2k  - 159.9k  CZK ,,Backend, Senior ,Work language:angličtina," Katowice, Kraków, Wrocław  +2 • Remote • Katowice • Kraków • Wrocław • Warszawa • Poznań  ", Na dálku 
250, Team leader - Senior Backend Developer , medcase Health , 125.2k  - 165.2k  CZK ,,"Backend, NodeJS"," Senior, Expert ",Work language:angličtina," Katowice, Krakow, Warszawa  +2 • Remote • Katowice • Krakow • Warszawa • Poznań • Wrocław  ", Na dálku 
251, Senior/Lead Python developer , Bitfury , 4.6k  - 6.2k  CZK ,,"Backend, python", Senior ,"Work language:ukrajinsky, angličtina",, Na dálku 
252, Magento 2 Back-end Developer , Elogic Commerce , 59.6k  - 95.4k  CZK ,,"Backend, php", Mid ,"Work language:ukrajinsky, angličtina"," Chernivtsi, Ternopil  +1 • Remote • Chernivtsi • Ternopil • Khmelnytskyi  ", Na dálku 
253, Remote Senior Java Developer , SoftwareMill , 106.3k  - 162.3k  CZK ,,"Backend, java", Senior ,"Work language:angličtina, polsky"," Warszawa, Kraków, Łódź, Poznań  +1 • Remote • Warszawa • Kraków • Łódź • Poznań • Gdańsk  ", Na dálku 
254, Java Developer - Remote , Tryg Forsikring , 102.9k  - 138.7k  CZK ,,"Backend, java"," Mid, Senior ",Work language:angličtina,, Na dálku 
255, Java Developer , gravity9 , 134.2k  - 179k  CZK ,,"Backend, java"," Mid, Senior ","Work language:angličtina, polsky"," Wrocław, Kraków • Remote • Wrocław • Kraków , Pawia 9 ", Na dálku 
256, Senior Java Developer , HigoSense , 85.2k  - 119.9k  CZK ,,"Backend, java", Senior ,Work language:angličtina," Warszawa, Aleje Jerozolimskie 123a • Remote • Warszawa , Aleje Jerozolimskie 123a ", Na dálku 
257, Java Tech Lead , A4BEE Sp. z o.o. , 106.6k  - 170.5k  CZK ,,"Backend, java"," Senior, Expert ","Work language:angličtina, polsky"," Warszawa, Wrocław • Remote • Warszawa • Wrocław  ", Na dálku 
258, Remote Senior .NET Engineer , Magnify Logistics , 190.9k  - 262.5k  CZK ,,"Backend, .net"," Senior, Expert ",Work language:angličtina,, Na dálku 
259, Software Engineer - Phorest Pay , Phorest , 112.8k  - 137.9k  CZK ,,"Backend, java", Mid ,Work language:angličtina,, Na dálku 
260, Mid/Senior Java Software Engineer , SoftServe , 53.3k  - 106.6k  CZK ,,"Backend, java"," Mid, Senior ",Work language:angličtina," Wrocław, Gliwice, Białystok • Remote • Wrocław • Gliwice • Białystok  ", Na dálku 
261, Golang Engineer (remote) , GogoApps , 63.9k  - 95.9k  CZK ,,"Backend, Golang", Mid ,"Work language:polsky, angličtina"," Warszawa, Małachowskiego 2 • Remote • Warszawa , Małachowskiego 2 ", Na dálku 
262, Java Developer , Appliscale , 77.2k  - 154.5k  CZK ,,"Backend, java"," Mid, Senior ",Work language:angličtina," Kraków, Życzkowskiego 14 • Remote • Kraków , Życzkowskiego 14 ", Na dálku 
263, .NET Developer , Hitachi Energy , 42.6k  - 74.6k  CZK ,,"Backend, .net"," Mid, Senior ","Work language:angličtina, polsky"," Kraków, Pawia 7  (Po pandemi) • Kraków , Pawia 7 ", Covid-time na dálku 
264, Senior Backend Java Developer-Zdalnie , Exorigo-Upos , 85.2k  - 117.2k  CZK ,,"Backend, java"," Mid, Senior ",Work language:polsky,, Na dálku 
265, Junior +| Mid Programista Java [Zdalnie] , Exorigo-Upos , 53.3k  - 79.9k  CZK ,,"Backend, java", Mid ,Work language:polsky,, Na dálku 
